ticker,name,sector,industry,index,country
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,SP500,US
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,SP500,US
PLTR,Palantir Technologies,Information Technology,Application Software,SP500,US
PANW,Palo Alto Networks,Information Technology,Systems Software,SP500,US
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,SP500,US
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,SP500,US
PAYX,Paychex,Industrials,Human Resource & Employment Services,SP500,US
PYPL,PayPal,Financials,Transaction & Payment Processing Services,SP500,US
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,SP500,US
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SP500,US
PFE,Pfizer,Health Care,Pharmaceuticals,SP500,US
PCG,PG&E Corporation,Utilities,Multi-Utilities,SP500,US
PM,Philip Morris International,Consumer Staples,Tobacco,SP500,US
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,SP500,US
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,SP500,US
PNC,PNC Financial Services,Financials,Diversified Banks,SP500,US
POOL,Pool Corporation,Consumer Discretionary,Distributors,SP500,US
PPG,PPG Industries,Materials,Specialty Chemicals,SP500,US
PPL,PPL Corporation,Utilities,Electric Utilities,SP500,US
PFG,Principal Financial Group,Financials,Life & Health Insurance,SP500,US
PG,Procter & Gamble,Consumer Staples,Personal Care Products,SP500,US
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,SP500,US
PLD,Prologis,Real Estate,Industrial REITs,SP500,US
PRU,Prudential Financial,Financials,Life & Health Insurance,SP500,US
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,SP500,US
PTC,PTC Inc.,Information Technology,Application Software,SP500,US
PSA,Public Storage,Real Estate,Self-Storage REITs,SP500,US
PHM,PulteGroup,Consumer Discretionary,Homebuilding,SP500,US
PWR,Quanta Services,Industrials,Construction & Engineering,SP500,US
QCOM,Qualcomm,Information Technology,Semiconductors,SP500,US
DGX,Quest Diagnostics,Health Care,Health Care Services,SP500,US
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,SP500,US
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP500,US
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,SP500,US
RTX,RTX Corporation,Industrials,Aerospace & Defense,SP500,US
O,Realty Income,Real Estate,Retail REITs,SP500,US
REG,Regency Centers,Real Estate,Retail REITs,SP500,US
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,SP500,US
RF,Regions Financial Corporation,Financials,Regional Banks,SP500,US
RSG,Republic Services,Industrials,Environmental & Facilities Services,SP500,US
RMD,ResMed,Health Care,Health Care Equipment,SP500,US
RVTY,Revvity,Health Care,Health Care Equipment,SP500,US
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,SP500,US
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,SP500,US
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,SP500,US
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,SP500,US
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,SP500,US
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
SPGI,S&P Global,Financials,Financial Exchanges & Data,SP500,US
CRM,Salesforce,Information Technology,Application Software,SP500,US
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,SP500,US
